ID, MSE, PSNR, SSIM, LPIPS
0, 0.00276335,  25.58564466,  0.85867059,  0.12938040
1, 0.00274156,  25.62002412,  0.89440131,  0.08769313
2, 0.00325240,  24.87796689,  0.85365278,  0.11911773
3, 0.00443025,  23.53572151,  0.75531334,  0.24739885
4, 0.00626094,  22.03360596,  0.73011202,  0.24713209
5, 0.00266011,  25.75101144,  0.89067864,  0.11540904
6, 0.00209269,  26.79296024,  0.92267036,  0.06495117
7, 0.00241251,  26.17530775,  0.88014334,  0.12599391
8, 0.00294123,  25.31470417,  0.81258929,  0.18588981
9, 0.00198255,  27.02775413,  0.86744422,  0.12872241
AVERAGES: 0.0032, 25.271, 0.847, 0.145
