ID, MSE, PSNR, SSIM, LPIPS
0, 0.00231948,  26.34609531,  0.91465664,  0.13580664
1, 0.00246111,  26.08869343,  0.89490610,  0.08445053
2, 0.00271583,  25.66096638,  0.86889982,  0.10938133
3, 0.00311604,  25.06397622,  0.80886048,  0.21907927
4, 0.00279563,  25.53519853,  0.86476040,  0.12758043
5, 0.00099049,  30.04151554,  0.87601221,  0.17503989
6, 0.00465620,  23.31967955,  0.80247414,  0.22431608
7, 0.00272277,  25.64989344,  0.86527497,  0.11435597
8, 0.00316917,  24.99054703,  0.79238176,  0.23452374
9, 0.00207376,  26.83240501,  0.90049106,  0.09419155
AVERAGES: 0.0027, 25.953, 0.859, 0.152
