ID, MSE, PSNR, SSIM, LPIPS
0, 0.00347934,  24.58503726,  0.84240520,  0.14111139
1, 0.00425882,  23.70710872,  0.83504885,  0.14250222
2, 0.00475005,  23.23301764,  0.81443286,  0.17874846
3, 0.00380833,  24.19265129,  0.79024124,  0.23726775
4, 0.00249188,  26.03472961,  0.79459864,  0.25906384
5, 0.00420613,  23.76117183,  0.82897294,  0.16623935
6, 0.00287740,  25.40999757,  0.85219562,  0.15791720
7, 0.00348183,  24.58192553,  0.79047036,  0.25372913
8, 0.00414121,  23.82872685,  0.76979816,  0.25129837
9, 0.00299584,  25.23481075,  0.83622104,  0.16205183
AVERAGES: 0.0036, 24.457, 0.815, 0.195
