ID, MSE, PSNR, SSIM, LPIPS
0, 0.00222407,  26.52851362,  0.87232769,  0.14617798
1, 0.00189875,  27.21532168,  0.88263619,  0.10361198
2, 0.00234033,  26.30722417,  0.90129334,  0.09131546
3, 0.00183929,  27.35348823,  0.92533302,  0.06311283
4, 0.00197792,  27.03791417,  0.92325789,  0.07200680
5, 0.00173092,  27.61723342,  0.90218186,  0.08566077
6, 0.00210843,  26.76040376,  0.91753274,  0.06929783
7, 0.00189485,  27.22425793,  0.93554580,  0.04308558
8, 0.00299629,  25.23415668,  0.87399846,  0.08896647
9, 0.00234024,  26.30740218,  0.90080220,  0.07748017
AVERAGES: 0.0021, 26.759, 0.903, 0.084
