ID, MSE, PSNR, SSIM, LPIPS
0, 0.00210041,  26.77695694,  0.87277842,  0.11997046
1, 0.00145094,  28.38351372,  0.90786070,  0.08787404
2, 0.00188118,  27.25569087,  0.91813588,  0.09999722
3, 0.00231519,  26.35412896,  0.95155084,  0.04990655
4, 0.00254973,  25.93505646,  0.89040768,  0.10421321
5, 0.00227603,  26.42821947,  0.89086062,  0.10300974
6, 0.00092339,  30.34614954,  0.91687292,  0.13986069
7, 0.00256632,  25.90689210,  0.86237669,  0.13691607
8, 0.00217383,  26.62773527,  0.85017151,  0.16280487
9, 0.00254299,  25.94654707,  0.86641681,  0.14147022
AVERAGES: 0.0021, 26.996, 0.893, 0.115
