ID, MSE, PSNR, SSIM, LPIPS
0, 0.00169784,  27.70102600,  0.93199229,  0.06149847
1, 0.00381152,  24.18901631,  0.85044980,  0.12183589
2, 0.00238457,  26.22589083,  0.89275020,  0.09457633
3, 0.00377354,  24.23251387,  0.84243935,  0.17585686
4, 0.00357135,  24.47167910,  0.82380229,  0.15589353
5, 0.00309227,  25.09721923,  0.79769188,  0.27544719
6, 0.00442264,  23.54318231,  0.81623125,  0.15454900
7, 0.00163712,  27.85919199,  0.90515709,  0.10327896
8, 0.00215972,  26.65603054,  0.91976053,  0.06360494
9, 0.00206608,  26.84853602,  0.92007667,  0.06621597
AVERAGES: 0.0029, 25.682, 0.870, 0.127
