ID, MSE, PSNR, SSIM, LPIPS
0, 0.00192067,  27.16548370,  0.89331537,  0.09329872
1, 0.00326323,  24.86351885,  0.81627560,  0.17354712
2, 0.00272469,  25.64683327,  0.88762665,  0.09340546
3, 0.00275815,  25.59382634,  0.89245820,  0.09273919
4, 0.00245372,  26.10175498,  0.88866532,  0.11851543
5, 0.00217617,  26.62306762,  0.92361224,  0.06091028
6, 0.00144390,  28.40461713,  0.93093216,  0.06446977
7, 0.00203540,  26.91349457,  0.92051291,  0.06634985
8, 0.00242682,  26.14961957,  0.90878171,  0.07170758
9, 0.00237020,  26.25215240,  0.84884232,  0.13989995
AVERAGES: 0.0024, 26.371, 0.891, 0.097
