ID, MSE, PSNR, SSIM, LPIPS
0, 0.00246984,  26.07331836,  0.89723694,  0.07919406
1, 0.00312568,  25.05055401,  0.89158690,  0.07761604
2, 0.00207006,  26.84017067,  0.87724841,  0.11379081
3, 0.00304620,  25.16241964,  0.86808211,  0.11682129
4, 0.00467628,  23.30099485,  0.92953736,  0.08684556
5, 0.00186554,  27.29195965,  0.93388587,  0.05724277
6, 0.00219230,  26.59099869,  0.91045833,  0.07557425
7, 0.00206519,  26.85039522,  0.87648213,  0.12391807
8, 0.00223129,  26.51444687,  0.90979064,  0.06961910
9, 0.00259306,  25.86187976,  0.89771706,  0.07187620
AVERAGES: 0.0026, 25.954, 0.899, 0.087
