ID, MSE, PSNR, SSIM, LPIPS
0, 0.00251612,  25.99268414,  0.85620415,  0.13419801
1, 0.00182101,  27.39686525,  0.92769128,  0.05869520
2, 0.00238785,  26.21993028,  0.89169931,  0.09141766
3, 0.00270285,  25.68177321,  0.86641937,  0.14115925
4, 0.00246189,  26.08731234,  0.92307287,  0.06715680
5, 0.00201263,  26.96235658,  0.90423083,  0.09923973
6, 0.00252564,  25.97629081,  0.92913425,  0.07079009
7, 0.00155405,  28.08534259,  0.88371730,  0.11484358
8, 0.00209377,  26.79071977,  0.89210135,  0.10375596
9, 0.00178424,  27.48547944,  0.90723777,  0.08507197
AVERAGES: 0.0022, 26.668, 0.898, 0.097
