ID, MSE, PSNR, SSIM, LPIPS
0, 0.01018747,  19.91933682,  0.60770988,  0.36082807
1, 0.01459961,  18.35658686,  0.43590081,  0.51879311
2, 0.00878333,  20.56340882,  0.67671812,  0.29100448
3, 0.01978621,  17.03637492,  0.39410642,  0.53805566
4, 0.01253351,  19.01927285,  0.57006562,  0.38218799
5, 0.01195521,  19.22442892,  0.61493838,  0.34078187
6, 0.01728399,  17.62356063,  0.39502472,  0.53867400
7, 0.01512682,  18.20252449,  0.48334378,  0.44769722
8, 0.01833053,  17.36824994,  0.40723577,  0.49744624
9, 0.00000000,  inf,  1.00000000,  0.00000000
AVERAGES: 0.0129, inf, 0.559, 0.392
